1,heritage,di sản
2,site,địa điểm/nơi/vị trí
3,nightlife,cuộc sống về đêm
4,sightseeing,cuộc tham quan
5,sector,khu vực/quân khu
6,imperial,thuộc hoàng đế
7,citadel,thành luỹ
8,comprise,bao gồm
9,royal,thuộc hoàng gia
10,palace,cung điện
11,monument,đài tưởng niệm
12,intact,còn nguyên vẹn
13,ruin,tàn tích/tàn phá
14,impressive,ấn tượng
15,subsequent,theo sau/tiếp theo
16,dynasty,triều đại
17,relic,di tích/di vật
18,associate,kết hợp
19,archeological,thuộc khảo cổ học
20,excavation,sự khai quật
21,complex,phức tạp
22,dig,đào/xới
23,demolish,phá huỷ/đánh đổ
24,structure,công trình kiến trúc
25,stone,đá
26,ancient,cổ 
27,residential,thuộc nhà để ở
28,geological,thuộc địa chất
29,grotto,hang nhỏ
30,sanctuary,điện thờ/nhà thờ
31,scenic,thuộc cảnh vật
32,lanscape,phong cảnh
33,ruling,cai trị
34,reconstruction,sự xây dựng lại
35,handicraft,nghề thủ công
36,craftsman,thợ thủ công
37,purchase,mua/sắm
38,illegal,bất hợp pháp
39,emperor,hoàng đế
40,empire,đế quốc
41,scenery,phong cảnh
42,hospitable,hiếu khách
43,accommodation,nơi ở
44,feature,nét đặc trưng
45,breathtaking,hấp dẫn
46,emerge,nổi bật lên
47,magnificent,nguy nga lộng lẫy
48,cruise,cuộc đi chơi biển
49,cuisine,cách nấu nướng
50,superb,hùng vĩ
51,itinerary,kế hoạch về 1 cuộc hành trình
52,prawn,1 loại tôm (tôm pandan)
53,clam,con trai
54,authentic,đáng tin cậy
55,reasonable,hợp lý/phải chăng
56,abundant,nhiều/dồi dào
57,elegance,tính thanh lịch
58,islet,hòn đảo nhỏ
59,architecture,sự xây dựng/thuật kiến trúc
60,mosaic,đồ khảm
61,landmark,mốc ranh giới
62,pretigious,có uy tín
63,tomb,mộ/lăng mộ
64,flora,quần thực vật
65,fauna,quần động vật
66,distinctive,đặc biệt
67,limestone,đá vôi
68,obtain,giành được
69,rainfall,lượng mưa
70,steep,dốc
71,worship,sự thờ phụng 
72,humanity,nhân loại
73,muslim,thuộc hồi giáo
74,gateway,cổng ra vào
75,Mughal,đế quốc Mô-gôn
76,mausoleum,lăng mộ
77,circular,vòng tròn
78,base,mặt đáy
79,mosque,nhà thờ hồi giáo
80,dome,mái vòm
81,artistic,thuộc về nghệ thuật
82,masterpiece,kiệt tác
83,harmonious,sự hoà hợp
84,element,yếu tố/cơ sở
85,blend,pha trộn
86,reunite,tái hợp/làm cho hợp nhất
87,pottery,đồ gốm
88,snooze,ngủ gật
